timestamp,station_id,Temperature,Wind_Speed,Pressure,Humidity,Solar_Radiation,Generator_Load,Energy_consumption,Battery_Level,Fuel_Level,Fuel_Burn_Rate,Food_Inventory,Station_Occupancy
2016-01-01 00:00:00,MAITRI,-4.42,63.48,960.92,71.85,4.34,43.32,7.22,74.99,24997.47,30.32,4999.83,24
2016-01-01 00:05:00,MAITRI,-4.04,63.28,960.93,70.49,0.0,43.83,7.31,74.99,24994.92,30.68,4999.67,24
2016-01-01 00:10:00,MAITRI,-4.16,62.54,960.02,70.75,7.58,43.58,7.26,74.99,24992.37,30.5,4999.51,23
2016-01-01 00:15:00,MAITRI,-4.08,62.96,961.24,69.62,4.53,42.54,7.09,74.98,24989.89,29.78,4999.35,23
2016-01-01 00:20:00,MAITRI,-3.98,63.18,960.45,70.09,0.0,41.82,6.97,74.95,24987.45,29.27,4999.19,23
2016-01-01 00:25:00,MAITRI,-3.7,63.33,961.04,68.76,0.0,41.97,6.99,74.92,24985.0,29.38,4999.03,23
2016-01-01 00:30:00,MAITRI,-3.6,63.57,961.1,68.14,8.8,42.64,7.11,74.92,24982.52,29.85,4998.87,22
2016-01-01 00:35:00,MAITRI,-3.56,63.5,961.76,66.49,0.0,43.72,7.29,74.92,24979.97,30.6,4998.73,21
2016-01-01 00:40:00,MAITRI,-3.02,63.07,962.59,64.23,0.0,42.84,7.14,74.92,24977.47,29.99,4998.58,21
2016-01-01 00:45:00,MAITRI,-3.41,62.96,961.5,64.9,12.98,43.19,7.2,74.93,24974.95,30.23,4998.44,21
2016-01-01 00:50:00,MAITRI,-3.49,63.12,962.32,64.38,1.4,42.73,7.12,74.92,24972.46,29.91,4998.28,22
2016-01-01 00:55:00,MAITRI,-3.16,63.35,962.36,63.51,15.56,42.38,7.06,74.92,24969.98,29.67,4998.13,22
2016-01-01 01:00:00,MAITRI,-2.77,62.59,962.61,63.36,0.0,40.81,6.8,74.88,24967.6,28.56,4997.98,22
2016-01-01 01:05:00,MAITRI,-2.71,62.49,963.12,61.51,2.7,45.36,7.56,74.88,24964.96,31.75,4997.83,22
2016-01-01 01:10:00,MAITRI,-2.84,62.84,963.59,63.32,11.14,42.06,7.01,74.87,24962.5,29.44,4997.67,23
2016-01-01 01:15:00,MAITRI,-2.61,62.72,963.61,62.11,5.75,42.18,7.03,74.85,24960.04,29.52,4997.51,23
2016-01-01 01:20:00,MAITRI,-2.88,62.43,963.33,62.36,0.0,44.49,7.42,74.85,24957.45,31.15,4997.35,23
2016-01-01 01:25:00,MAITRI,-3.19,62.53,963.71,64.24,0.0,42.51,7.09,74.83,24954.97,29.76,4997.19,23
2016-01-01 01:30:00,MAITRI,-2.83,62.73,963.7,62.06,6.78,43.49,7.25,74.84,24952.43,30.44,4997.03,23
2016-01-01 01:35:00,MAITRI,-3.01,64.32,963.67,60.36,6.94,44.58,7.43,74.84,24949.83,31.21,4996.87,23
2016-01-01 01:40:00,MAITRI,-2.72,65.09,963.67,59.43,3.31,43.48,7.25,74.84,24947.29,30.44,4996.71,23
2016-01-01 01:45:00,MAITRI,-2.41,65.75,964.04,58.78,0.0,44.43,7.4,74.84,24944.7,31.1,4996.55,23
2016-01-01 01:50:00,MAITRI,-2.76,65.37,964.85,58.27,0.0,44.22,7.37,74.84,24942.12,30.95,4996.39,23
2016-01-01 01:55:00,MAITRI,-2.55,64.8,964.61,56.28,5.68,44.06,7.34,74.84,24939.55,30.84,4996.22,24
2016-01-01 02:00:00,MAITRI,-2.77,63.97,964.61,58.64,0.0,44.6,7.43,74.84,24936.95,31.22,4996.06,24
2016-01-01 02:05:00,MAITRI,-3.04,64.2,964.31,60.12,4.12,48.58,8.1,74.85,24934.12,34.01,4995.89,24
2016-01-01 02:10:00,MAITRI,-2.75,63.88,964.18,58.21,0.0,43.17,7.19,74.84,24931.6,30.22,4995.73,23
2016-01-01 02:15:00,MAITRI,-2.38,63.46,964.49,59.0,4.4,41.49,6.92,74.81,24929.18,29.05,4995.58,22
2016-01-01 02:20:00,MAITRI,-2.6,64.12,964.49,61.89,0.0,41.81,6.97,74.79,24926.74,29.27,4995.43,21
2016-01-01 02:25:00,MAITRI,-2.79,63.47,965.03,63.75,14.12,42.69,7.12,74.8,24924.25,29.89,4995.28,21
2016-01-01 02:30:00,MAITRI,-2.81,63.66,965.37,63.01,1.83,42.31,7.05,74.79,24921.78,29.62,4995.14,21
2016-01-01 02:35:00,MAITRI,-3.05,63.61,966.17,61.47,0.0,42.66,7.11,74.79,24919.29,29.86,4994.99,21
2016-01-01 02:40:00,MAITRI,-3.66,63.54,965.04,63.13,12.36,43.12,7.19,74.8,24916.78,30.19,4994.84,22
2016-01-01 02:45:00,MAITRI,-3.3,62.85,965.29,60.93,0.0,44.27,7.38,74.8,24914.2,30.99,4994.68,23
2016-01-01 02:50:00,MAITRI,-3.15,62.87,965.32,60.43,0.0,45.04,7.51,74.8,24911.57,31.53,4994.52,23
2016-01-01 02:55:00,MAITRI,-3.47,62.71,965.46,58.64,2.9,44.13,7.35,74.8,24908.99,30.89,4994.36,23
2016-01-01 03:00:00,MAITRI,-3.18,62.93,966.0,58.1,3.06,44.04,7.34,74.8,24906.43,30.83,4994.2,23
2016-01-01 03:05:00,MAITRI,-3.28,63.35,965.77,57.13,10.44,43.22,7.2,74.81,24903.9,30.25,4994.04,23
2016-01-01 03:10:00,MAITRI,-3.39,63.13,965.49,55.76,16.2,41.92,6.99,74.8,24901.46,29.34,4993.88,23
2016-01-01 03:15:00,MAITRI,-3.5,62.63,965.6,57.36,0.0,43.53,7.25,74.8,24898.92,30.47,4993.72,23
2016-01-01 03:20:00,MAITRI,-3.64,60.38,965.17,58.73,0.0,43.95,7.33,74.8,24896.36,30.77,4993.57,22
2016-01-01 03:25:00,MAITRI,-3.51,61.21,965.76,58.56,2.49,45.07,7.51,74.8,24893.73,31.55,4993.41,23
2016-01-01 03:30:00,MAITRI,-3.8,60.81,965.87,60.94,3.77,44.41,7.4,74.8,24891.14,31.09,4993.24,24
2016-01-01 03:35:00,MAITRI,-3.86,61.21,965.87,62.43,0.0,44.37,7.39,74.8,24888.55,31.06,4993.08,24
2016-01-01 03:40:00,MAITRI,-3.84,61.67,965.76,62.23,0.0,45.17,7.53,74.8,24885.91,31.62,4992.92,23
2016-01-01 03:45:00,MAITRI,-3.6,61.9,966.25,63.79,0.0,42.83,7.14,74.79,24883.42,29.98,4992.76,23
2016-01-01 03:50:00,MAITRI,-3.59,61.34,965.59,62.96,0.0,41.59,6.93,74.75,24880.99,29.11,4992.6,23
2016-01-01 03:55:00,MAITRI,-3.18,60.88,966.04,60.54,0.0,76.57,12.76,74.75,24876.52,53.6,4992.44,23
2016-01-01 04:00:00,MAITRI,-3.5,61.03,966.5,62.48,1.55,70.62,11.77,74.76,24872.4,49.43,4992.28,23
2016-01-01 04:05:00,MAITRI,-3.14,60.95,966.06,59.72,8.48,67.89,11.32,74.76,24868.44,47.53,4992.12,23
2016-01-01 04:10:00,MAITRI,-3.01,60.15,966.13,59.54,0.0,74.59,12.43,74.76,24864.09,52.21,4991.95,24
2016-01-01 04:15:00,MAITRI,-2.78,60.51,966.25,58.54,8.47,64.79,10.8,74.76,24860.31,45.36,4991.78,24
2016-01-01 04:20:00,MAITRI,-3.06,60.51,966.27,60.68,4.28,70.07,11.68,74.77,24856.23,49.05,4991.62,24
2016-01-01 04:25:00,MAITRI,-2.64,60.19,966.41,61.37,0.0,66.38,11.06,74.77,24852.35,46.47,4991.46,23
2016-01-01 04:30:00,MAITRI,-2.64,60.88,966.27,64.34,12.0,70.9,11.82,74.77,24848.22,49.63,4991.31,22
2016-01-01 04:35:00,MAITRI,-2.83,61.14,966.52,61.85,0.0,62.49,10.42,74.77,24844.57,43.74,4991.15,22
2016-01-01 04:40:00,MAITRI,-2.47,62.23,966.82,60.13,0.0,65.53,10.92,74.77,24840.75,45.87,4991.0,22
2016-01-01 04:45:00,MAITRI,-2.74,62.49,966.41,58.2,0.0,66.83,11.14,74.77,24836.85,46.78,4990.84,23
2016-01-01 04:50:00,MAITRI,-2.91,63.06,966.48,60.1,3.77,70.95,11.82,74.77,24832.71,49.66,4990.67,24
2016-01-01 04:55:00,MAITRI,-3.13,62.81,966.65,58.37,0.6,64.17,10.7,74.77,24828.97,44.92,4990.51,24
2016-01-01 05:00:00,MAITRI,-2.62,62.94,966.75,56.76,0.0,69.68,11.61,74.77,24824.9,48.78,4990.34,24
2016-01-01 05:05:00,MAITRI,-2.26,62.28,966.42,54.71,0.0,64.59,10.76,74.77,24821.14,45.21,4990.17,24
2016-01-01 05:10:00,MAITRI,-2.44,62.31,966.41,53.15,0.0,65.98,11.0,74.77,24817.29,46.19,4990.01,24
2016-01-01 05:15:00,MAITRI,-2.29,62.4,966.37,53.43,6.53,72.42,12.07,74.78,24813.06,50.69,4989.84,24
2016-01-01 05:20:00,MAITRI,-2.26,62.77,966.49,56.37,0.0,43.43,7.24,74.77,24810.53,30.4,4989.67,24
2016-01-01 05:25:00,MAITRI,-2.52,62.68,966.63,58.35,0.0,45.46,7.58,74.77,24807.88,31.82,4989.51,24
2016-01-01 05:30:00,MAITRI,-2.67,62.93,966.85,56.93,0.0,43.84,7.31,74.77,24805.32,30.69,4989.35,22
2016-01-01 05:35:00,MAITRI,-3.42,62.69,966.0,59.06,4.63,43.1,7.18,74.77,24802.81,30.17,4989.21,21
